DISTRITO,RATIO_DISTRITO
ANCON,0.000
ATE,0.242
BARRANCO,0.833
BREÑA,0.583
CARABAYLLO,0.188
CHACLACAYO,0.000
CHORRILLOS,0.265
CIENEGUILLA,1.000
COMAS,0.241
EL AGUSTINO,0.000
INDEPENDENCIA,0.636
JESUS MARIA,0.063
LA MOLINA,0.227
LA VICTORIA,0.000
LIMA,0.263
LINCE,0.800
LOS OLIVOS,0.421
LURIGANCHO,0.000
LURIN,1.000
MAGDALENA DEL MAR,0.400
MIRAFLORES,0.389
PACHACAMAC,0.000
PUEBLO LIBRE,0.357
PUENTE PIEDRA,0.000
PUNTA HERMOSA,1.000
PUNTA NEGRA,1.000
RIMAC,0.000
SAN BORJA,0.750
SAN ISIDRO,0.167
SAN JUAN DE LURIGANCHO,0.058
SAN JUAN DE MIRAFLORES,0.000
SAN LUIS,0.500
SAN MARTIN DE PORRES,0.545
SAN MIGUEL,0.000
SANTA ANITA,0.417
SANTA ROSA,0.000
SANTIAGO DE SURCO,0.500
SURQUILLO,0.143
VILLA EL SALVADOR,0.318
VILLA MARIA DEL TRIUNFO,0.000
